,marca,preço,link
1379,Cabo De Áudio Para Gravador De Cd/dvd,3.49,https://www.kabum.com.br//produto/411953/cabo-de-audio-para-gravador-de-cd-dvd
1562,"Bateria Flex Fx-50u Universal Para Telefone, Sem Fio, 300mah 3.6v",11.88,https://www.kabum.com.br//produto/406404/bateria-flex-fx-50u-universal-para-telefone-sem-fio-300mah-3-6v
1127,"Adesivo Skin Manhattan Mh-475679, Para Notebooks Até 17 Pol, Guitarra",16.53,https://www.kabum.com.br//produto/409476/adesivo-skin-manhattan-mh-475679-para-notebooks-ate-17-pol-guitarra
432,"Película Silicone Transparente Para Teclado De Notebook 26,5cm X 11cm",19.22,https://www.kabum.com.br//produto/245461/pelicula-silicone-transparente-para-teclado-de-notebook-26-5cm-x-11cm
2394,"Capa Para Notebook Eco 14 Polegadas Gray,Tecido 100% Resíduo De Garrafa Pet",19.5,https://www.kabum.com.br//produto/443315/capa-para-notebook-eco-14-polegadas-gray-tecido-100-residuo-de-garrafa-pet
2298,"Capa Para Notebook Eco 14 Polegadas Gray,Tecido 100% Resíduo De Garrafa Pet",19.5,https://www.kabum.com.br//produto/443315/capa-para-notebook-eco-14-polegadas-gray-tecido-100-residuo-de-garrafa-pet
1979,Cabo Usb Para Mini Usb - 8 Pinos Redondo,21.99,https://www.kabum.com.br//produto/411963/cabo-usb-para-mini-usb-8-pinos-redondo
382,"Conector DC Jack P/ Notebook Positivo Motion Q432a, Q232a/q, Q164b",25.0,https://www.kabum.com.br//produto/307078/conector-dc-jack-p-notebook-positivo-motion-q432a-q232a-q-q164b
2161,Fonte Para Psp Séries 1000-2000-3000 Kp-554 Knup,25.49,https://www.kabum.com.br//produto/348061/fonte-para-psp-series-1000-2000-3000-kp-554-knup
554,"Fonte Carregador AC, Bivolt, Para PSP, 1000, 2000, 3000, 110/220V",26.49,https://www.kabum.com.br//produto/162743/fonte-carregador-ac-bivolt-para-psp-1000-2000-3000-110-220v
184,Cabo de Segurança com Chave C3TECH CS - 30,26.91,https://www.kabum.com.br//produto/174031/cabo-de-seguranca-com-chave-c3tech-cs-30
477,"Capa Para Notebook Eco 15.6 Polegadas Gray,Tecido 100% Resíduo De Garrafa Pet",27.0,https://www.kabum.com.br//produto/443316/capa-para-notebook-eco-15-6-polegadas-gray-tecido-100-residuo-de-garrafa-pet
493,Capa Para Notebook 15.6 Polegadas,28.9,https://www.kabum.com.br//produto/452758/capa-para-notebook-15-6-polegadas
2252,Capa  Para Notebook 17,28.9,https://www.kabum.com.br//produto/452757/capa-para-notebook-17
492,Capa Para Notebook 15.6 Polegadas Azul,28.9,https://www.kabum.com.br//produto/452754/capa-para-notebook-15-6-polegadas-azul
2190,Capa  Para Notebook 17,28.9,https://www.kabum.com.br//produto/452757/capa-para-notebook-17
346,"Capa Case Pasta Notebook Com Bolso 15,6 Rosa",29.9,https://www.kabum.com.br//produto/452765/capa-case-pasta-notebook-com-bolso-15-6-rosa
869,"Capar Case Motebook 15,6 Com Bolso Azul",29.9,https://www.kabum.com.br//produto/452756/capar-case-motebook-15-6-com-bolso-azul
1786,Capa Para Notebook Com Bolso 17,29.9,https://www.kabum.com.br//produto/452751/capa-para-notebook-com-bolso-17
1177,Capa Para Notebook Com Bolso 14Polegadas,29.9,https://www.kabum.com.br//produto/452759/capa-para-notebook-com-bolso-14polegadas
278,Capa Case Pasta Notebook Com Bolso 17 Polegadas Vinho,29.9,https://www.kabum.com.br//produto/452761/capa-case-pasta-notebook-com-bolso-17-polegadas-vinho
2219,"Fonte Fasgold 12v/2a - Cabeada / Bivolt, Automatica (psi / Smart Chip) - Fs-302",31.65,https://www.kabum.com.br//produto/432624/fonte-fasgold-12v-2a-cabeada-bivolt-automatica-psi-smart-chip-fs-302
2107,"Fonte Carregador Para Positivo Motion Q464c Q232c 5v 3a, bivolt - PWR475",35.5,https://www.kabum.com.br//produto/461231/fonte-carregador-para-positivo-motion-q464c-q232c-5v-3a-bivolt-pwr475
2085,"Fonte Carregador Para Positivo Motion Q464c Q232c 5v 3a, bivolt - PWR475",35.5,https://www.kabum.com.br//produto/461231/fonte-carregador-para-positivo-motion-q464c-q232c-5v-3a-bivolt-pwr475
913,Fonte Para Multi Legacy Cloud Pc130 Ml-ip02 5v Pwr475 - Bivolt,35.5,https://www.kabum.com.br//produto/313615/fonte-para-multi-legacy-cloud-pc130-ml-ip02-5v-pwr475-bivolt
1024,Fonte Para Multi Legacy Cloud Pc130 Ml-ip02 5v Pwr475 - Bivolt,35.5,https://www.kabum.com.br//produto/313615/fonte-para-multi-legacy-cloud-pc130-ml-ip02-5v-pwr475-bivolt
964,"Fonte Carregador Para Note Multi Legacy Cloud 5v,bivolt - Pwr475",35.5,https://www.kabum.com.br//produto/461745/fonte-carregador-para-note-multi-legacy-cloud-5v-bivolt-pwr475
956,"Fonte Carregador Para Note Multi Legacy Cloud 5v,bivolt - Pwr475",35.5,https://www.kabum.com.br//produto/461745/fonte-carregador-para-note-multi-legacy-cloud-5v-bivolt-pwr475
